NAME,ref_G,ref_FGA,ref_FTA,ref_PF,ref_PTS,ref_FGA_pgrel,ref_FTA_pgrel,ref_PF_pgrel,ref_PTS_pgrel,ref_home_win_loss,ref_home_FGA,ref_home_FTA,ref_home_PF,ref_home_PTS,ref_away_win_loss,ref_away_FGA,ref_away_FTA,ref_away_PF,ref_away_PTS,ref_win_loss_hvrel,ref_FGA_hvrel,ref_FTA_hvrel,ref_PF_hvrel,ref_PTS_hvrel
Mike Krom,12,168.9,54.9,44.6,203.1,8.5,2.1,-1.5,4.1,0.75,84,29.7,20.8,104.5,0.25,84.9,25.3,23.8,98.6,0.294,-1.6,3.1,-2.3,2.7
Joe Lindsay,10,159.08,54.11,47.58,192.2,-1.14,1.52,1.67,-6.28,0.7003,79.47,26.88,23.8,98.97,0.2997,79.61,27.23,23.78,93.23,0.1992,-0.87,-1.49,0.78,2.69
Mike Maloney,9,157.9,67.1,54.1,208.1,-2.5,14.3,8,9.1,0.556,77.4,35.6,26.8,103.9,0.444,80.4,31.6,27.3,104.2,-0.095,-3.7,2.7,0.2,-3.5
Keith McClellan,19,162.1,58.4,46.4,203.8,1.7,5.6,0.3,4.8,0.737,81.2,31.2,22.5,104.1,0.263,80.9,27.2,23.9,99.7,0.268,-0.4,2.7,-0.7,1.2
Rashan Michel,212,161.6193396,49.525,43.90801887,189.6716981,0.864622642,-1.610377358,-1.362264151,-1.16509434,0.575471698,81.2004717,25.26792453,21.70801887,95.93820755,0.424528302,80.47264151,24.24056604,22.2,93.73254717,-0.059542453,0.416981132,0.205660377,0.002358491,-0.974528302
Quintin Murphy,7,158.3,60.7,48.1,204.1,-2.1,7.9,2,5.1,0.857,80.6,31.1,22.1,107.9,0.143,77.7,29.6,26,96.3,0.508,2.2,0.3,-3.1,8.4
Larry Onusz,10,159.7,58.1,48.3,200.1,-0.7,5.3,2.2,1.1,0.4,80.8,30.8,22.5,101.7,0.6,78.9,27.3,25.8,98.4,-0.406,1.2,2.2,-2.5,0.1
Jason Phillips,1158,164.4653713,48.10639033,41.79015544,198.7497409,0.430829016,-0.265544041,-0.472107081,0.023488774,0.611531088,82.41096718,24.54637306,20.57996546,100.9618307,0.388468912,82.0455095,23.56381693,21.20915371,97.79507772,0.027149396,0.253713299,-0.044041451,0.075561313,0.122884283
Michael Price,15,160.3,61.7,51,199.3,-0.1,8.9,4.9,0.3,0.667,79.5,33.3,23.7,101.3,0.333,80.9,28.3,27.3,98,0.127,-2.1,3.7,-2.9,0.1
Leroy Richardson,1447,164.1559779,48.97436075,42.65832757,199.1201797,-0.104975812,0.481271596,0.218037319,-0.054319281,0.597091223,82.12294402,25.1430546,20.8634416,101.0145128,0.402908777,82.04616448,23.82301313,21.79854872,98.12100898,0.00482792,-0.054664824,0.353213545,-0.279336558,-0.071803732
Robbie Robinson,178,157.5359551,56.14157303,47.51460674,197.1539326,-1.933707865,3.808988764,2.383146067,1.512359551,0.606595506,78.78314607,28.89213483,23.10898876,100.3707865,0.393404494,78.74831461,27.25955056,24.4,96.83483146,0.013629213,-0.17752809,0.434831461,-0.414606742,0.401123596
Doug Rogan,17,162.9,60.4,50.6,202.9,2.5,7.6,4.5,3.9,0.706,81.8,30.7,25.1,104.5,0.294,81.1,29.6,25.6,98.4,0.206,-0.1,-0.2,0.3,3
Bob Schoewe,15,155.1,58.8,46.9,196.9,-5.3,6,0.8,-2.1,0.8,77.3,30.9,21.7,105,0.2,77.9,27.9,25.2,91.9,0.394,-1.3,1.8,-2.7,9.9
Lamont Simpson,17,159.9,55.9,47.8,202.5,-0.5,3.1,1.7,3.5,0.471,80.8,28.7,23.5,101.1,0.529,79.2,27.2,24.3,101.5,-0.265,0.9,0.2,0,-3.6
Bert Smith,1,169,52,46,195,8.6,-0.8,-0.1,-4,1,85,30,19,106,0,84,22,27,89,0.794,0.3,6.7,-7.2,13.8
Troy Stevenson,12,159,64.3,49,202.2,-1.4,11.5,2.9,3.2,0.583,79.9,33.5,23.7,102.6,0.417,79.1,30.8,25.3,99.6,-0.039,0.1,1.5,-0.9,-0.2
Allen Williams,11,159.8,58.6,47.9,192.1,-0.6,5.8,1.8,-6.9,0.727,80.5,32.1,22.2,100.5,0.273,79.3,26.5,25.7,91.5,0.249,0.6,4.2,-2.7,5.8
Kenneth Wilson,13,159.2,61.5,52.3,206.5,-1.2,8.7,6.2,7.5,0.538,81.6,32.3,24.9,103.8,0.462,77.5,29.2,27.4,102.8,-0.129,3.4,1.9,-1.7,-2.2
Keith Winfrey,2,181,54,49.5,202.5,20.6,1.2,3.4,3.5,1,88,29,24.5,103,0,93,25,25,99.5,0.794,-5.7,2.7,0.3,0.3
